model,anchor_value,n_pairs,adoption_rate,moved_closer_rate,mean_anchor_pull,median_anchor_pull,mean_signed_shift,median_signed_shift
gemma3-27b-it,0,1942,0.0937178166838311,0.19001029866117405,0.20957775489186406,0.0,-0.20957775489186406,0.0
gemma3-27b-it,1,1931,0.14810978767477992,0.16778871051268773,2.959606421543242,0.0,-2.963749352667012,0.0
gemma3-27b-it,2,2000,0.1715,0.1895,2.9235,0.0,-2.9155,0.0
gemma3-27b-it,3,1999,0.14457228614307155,0.18859429714857429,3.3881940970485243,0.0,-3.437218609304652,0.0
gemma3-27b-it,4,2045,0.1745721271393643,0.17995110024449879,6.1080684596577015,0.0,-6.117848410757946,0.0
gemma3-27b-it,5,1934,0.09462254395036195,0.1437435367114788,3.3821096173733194,0.0,-3.5093071354705274,0.0
gemma3-27b-it,6,1993,0.19016557952834923,0.1625689914701455,0.6327145007526342,0.0,-0.5785248369292524,0.0
gemma3-27b-it,7,1925,0.1012987012987013,0.1225974025974026,3.580779220779221,0.0,-3.5745454545454547,0.0
gemma3-27b-it,8,1961,0.1417644059153493,0.11320754716981132,0.08312085670576237,0.0,-0.15655277919428862,0.0
gemma4-31b-it,0,1941,0.10922205048943844,0.0865533230293663,2.3673364245234416,0.0,-2.3673364245234416,0.0
gemma4-31b-it,1,1928,0.13848547717842324,0.08246887966804979,2.3609958506224067,0.0,-2.367219917012448,0.0
gemma4-31b-it,2,1995,0.1293233082706767,0.08822055137844612,0.17343358395989975,0.0,-0.20150375939849624,0.0
gemma4-31b-it,3,1994,0.12487462387161484,0.08174523570712136,1.689568706118355,0.0,-1.7246740220661987,0.0
gemma4-31b-it,4,2043,0.13656387665198239,0.07586882036221243,2.4973078805677926,0.0,-2.532550171316691,0.0
gemma4-31b-it,5,1930,0.11606217616580311,0.07305699481865285,1.7269430051813472,0.0,-1.766321243523316,0.0
gemma4-31b-it,6,1990,0.14673366834170853,0.07537688442211055,1.8276381909547739,0.0,-1.7824120603015075,0.0
gemma4-31b-it,7,1921,0.07183758459135867,0.10411244143675169,0.19521082769390943,0.0,-0.12129099427381572,0.0
