model,shift_bin,count
gemma3-27b-it,-10,66
gemma3-27b-it,-9,2
gemma3-27b-it,-8,12
gemma3-27b-it,-7,17
gemma3-27b-it,-6,26
gemma3-27b-it,-5,35
gemma3-27b-it,-4,102
gemma3-27b-it,-3,153
gemma3-27b-it,-2,461
gemma3-27b-it,-1,2221
gemma3-27b-it,0,13690
gemma3-27b-it,1,652
gemma3-27b-it,2,153
gemma3-27b-it,3,36
gemma3-27b-it,4,38
gemma3-27b-it,5,11
gemma3-27b-it,6,16
gemma3-27b-it,7,3
gemma3-27b-it,8,2
gemma3-27b-it,9,34
gemma4-31b-it,-10,35
gemma4-31b-it,-9,6
gemma4-31b-it,-8,11
gemma4-31b-it,-7,4
gemma4-31b-it,-6,16
gemma4-31b-it,-5,22
gemma4-31b-it,-4,27
gemma4-31b-it,-3,54
gemma4-31b-it,-2,166
gemma4-31b-it,-1,1264
gemma4-31b-it,0,15077
gemma4-31b-it,1,812
gemma4-31b-it,2,83
gemma4-31b-it,3,21
gemma4-31b-it,4,12
gemma4-31b-it,5,15
gemma4-31b-it,6,9
gemma4-31b-it,7,7
gemma4-31b-it,8,2
gemma4-31b-it,9,56
gemma4-e4b,-10,262
gemma4-e4b,-9,96
gemma4-e4b,-8,105
gemma4-e4b,-7,136
gemma4-e4b,-6,174
gemma4-e4b,-5,172
gemma4-e4b,-4,303
gemma4-e4b,-3,428
gemma4-e4b,-2,1266
gemma4-e4b,-1,3376
gemma4-e4b,0,9954
gemma4-e4b,1,896
gemma4-e4b,2,277
gemma4-e4b,3,114
gemma4-e4b,4,67
gemma4-e4b,5,25
gemma4-e4b,6,34
gemma4-e4b,7,19
gemma4-e4b,8,6
gemma4-e4b,9,20
llava-next-interleaved-7b,-10,44
llava-next-interleaved-7b,-9,41
llava-next-interleaved-7b,-8,61
llava-next-interleaved-7b,-7,28
llava-next-interleaved-7b,-6,65
llava-next-interleaved-7b,-5,108
llava-next-interleaved-7b,-4,203
llava-next-interleaved-7b,-3,59
llava-next-interleaved-7b,-2,715
llava-next-interleaved-7b,-1,2192
llava-next-interleaved-7b,0,13290
llava-next-interleaved-7b,1,488
llava-next-interleaved-7b,2,266
llava-next-interleaved-7b,3,36
llava-next-interleaved-7b,4,27
llava-next-interleaved-7b,5,18
llava-next-interleaved-7b,6,14
llava-next-interleaved-7b,7,5
llava-next-interleaved-7b,8,2
llava-next-interleaved-7b,9,21
qwen2.5-vl-7b-instruct,-10,24
qwen2.5-vl-7b-instruct,-9,14
qwen2.5-vl-7b-instruct,-8,16
qwen2.5-vl-7b-instruct,-7,2
qwen2.5-vl-7b-instruct,-6,12
qwen2.5-vl-7b-instruct,-5,31
qwen2.5-vl-7b-instruct,-4,18
qwen2.5-vl-7b-instruct,-3,59
qwen2.5-vl-7b-instruct,-2,319
qwen2.5-vl-7b-instruct,-1,1712
qwen2.5-vl-7b-instruct,0,14996
qwen2.5-vl-7b-instruct,1,355
qwen2.5-vl-7b-instruct,2,83
qwen2.5-vl-7b-instruct,3,22
qwen2.5-vl-7b-instruct,4,25
qwen2.5-vl-7b-instruct,5,9
qwen2.5-vl-7b-instruct,6,9
qwen2.5-vl-7b-instruct,7,7
qwen2.5-vl-7b-instruct,8,4
qwen2.5-vl-7b-instruct,9,13
qwen3-vl-30b-it,-10,18
qwen3-vl-30b-it,-9,5
qwen3-vl-30b-it,-8,4
qwen3-vl-30b-it,-7,2
qwen3-vl-30b-it,-6,11
qwen3-vl-30b-it,-5,17
qwen3-vl-30b-it,-4,88
qwen3-vl-30b-it,-3,85
qwen3-vl-30b-it,-2,455
qwen3-vl-30b-it,-1,3226
qwen3-vl-30b-it,0,13070
qwen3-vl-30b-it,1,515
qwen3-vl-30b-it,2,128
qwen3-vl-30b-it,3,30
qwen3-vl-30b-it,4,30
qwen3-vl-30b-it,5,4
qwen3-vl-30b-it,6,7
qwen3-vl-30b-it,7,8
qwen3-vl-30b-it,8,7
qwen3-vl-30b-it,9,12
qwen3-vl-8b-instruct,-10,41
qwen3-vl-8b-instruct,-9,3
qwen3-vl-8b-instruct,-8,9
qwen3-vl-8b-instruct,-7,21
qwen3-vl-8b-instruct,-6,34
qwen3-vl-8b-instruct,-5,30
qwen3-vl-8b-instruct,-4,55
qwen3-vl-8b-instruct,-3,112
qwen3-vl-8b-instruct,-2,260
qwen3-vl-8b-instruct,-1,1788
qwen3-vl-8b-instruct,0,14962
qwen3-vl-8b-instruct,1,252
qwen3-vl-8b-instruct,2,92
qwen3-vl-8b-instruct,3,27
qwen3-vl-8b-instruct,4,18
qwen3-vl-8b-instruct,5,10
qwen3-vl-8b-instruct,6,11
qwen3-vl-8b-instruct,7,0
qwen3-vl-8b-instruct,8,2
qwen3-vl-8b-instruct,9,3
