experiment,model,timestamp,condition,df_moved_before,df_raw_before,adopt_before,exact_match_before,distance_before,n_before,df_moved_after,df_raw_after,adopt_after,exact_match_after,distance_after,n_after,df_moved_delta,df_raw_delta,adopt_delta,exact_match_delta
experiment,analysis,20260427-075523,models,,,,,,0.0,,,,,,0.0,,,,
experiment,analysis,20260428-140004,models,,,,,,,,,,,,0.0,,,,
experiment,gemma3-27b-it,20260412-011706,target_only,,,0.0,0.48567399887196844,,17730.0,,,0.0,0.48567399887196844,,17730.0,,,0.0,0.0
experiment,gemma3-27b-it,20260412-011706,target_plus_irrelevant_neutral,,,0.0,0.47890580936266214,,17730.0,,,0.0,0.47890580936266214,,17730.0,,,0.0,0.0
experiment,gemma3-27b-it,20260412-011706,target_plus_irrelevant_number,0.10671178793006204,0.30501974055273545,0.052947115991417396,0.4880992667794698,4.44799774393683,17730.0,0.16717428087986463,0.16717428087986463,0.052947115991417396,0.4880992667794698,4.44799774393683,17730.0,0.06046249294980259,-0.13784545967287082,0.0,0.0
experiment,gemma4-31b-it,20260412-120052,target_only,,,0.0,0.6003384094754654,,17730.0,,,0.0,0.6003384094754654,,17730.0,,,0.0,0.0
experiment,gemma4-31b-it,20260412-120052,target_plus_irrelevant_neutral,,,0.0,0.5736604624929498,,17730.0,,,0.0,0.5736604624929498,,17730.0,,,0.0,0.0
experiment,gemma4-31b-it,20260412-120052,target_plus_irrelevant_number,0.0631911532385466,0.23933649289099526,0.023838128359152704,0.5907501410039481,6.164974046490634,17730.0,0.08474385014669375,0.08474385014669375,0.023838128359152704,0.5907501410039481,6.164974046490634,17730.0,0.02155269690814715,-0.1545926427443015,0.0,0.0
experiment,gemma4-e4b,20260411-235419,target_only,,,0.0,0.4269599548787366,,17730.0,,,0.0,0.4269599548787366,,17730.0,,,0.0,0.0
experiment,gemma4-e4b,20260411-235419,target_plus_irrelevant_neutral,,,0.0,0.38815566835871407,,17730.0,,,0.0,0.38815566835871407,,17730.0,,,0.0,0.0
experiment,gemma4-e4b,20260411-235419,target_plus_irrelevant_number,0.1931190073322053,0.3195149464184997,0.06581341363950059,0.41511562323745066,4.171404399323181,17730.0,0.2736040609137056,0.2736040609137056,0.06581341363950059,0.41511562323745066,4.171404399323181,17730.0,0.0804850535815003,-0.04591088550479411,0.0,0.0
experiment,llava-next-interleaved-7b,20260411-174859,target_only,,,0.0,0.47490129723632263,,17730.0,,,0.0,0.47490129723632263,,17730.0,,,0.0,0.0
experiment,llava-next-interleaved-7b,20260411-174859,target_plus_irrelevant_neutral,,,0.0,0.42825719120135364,,17730.0,,,0.0,0.42825719120135364,,17730.0,,,0.0,0.0
