model,sample_instance_id,anchor_value,condition_class,step_used,layer,mass_anchor,mass_digit,mass_background,digit_over_anchor,run
gemma4-e4b,393226001_393226_set00,1400,a,4,0,0.9582470059394836,0.07245185901410878,0.8857951469253749,0.07560875073444721,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,1,0.8302707076072693,0.11838868050836027,0.711882027098909,0.1425904580561933,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,2,0.9039034843444824,0.06750768216443248,0.8363958021800499,0.07468461327305266,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,3,0.9197776317596436,0.080176931922324,0.8396006998373196,0.08716990841464152,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,4,0.8381898403167725,0.09552379057276994,0.7426660497440025,0.11396438608307297,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,5,0.059278227388858795,0.022328879684209824,0.03694934770464897,0.3766792744616801,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,6,0.8962315320968628,0.17356933350674808,0.7226621985901147,0.19366572954720485,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,7,0.9071418046951294,0.2570705695543438,0.6500712351407856,0.28338520860113997,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,8,0.9718620777130127,0.09047369321342558,0.8813883844995871,0.09309314077397526,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,9,0.9676873683929443,0.18789809220470488,0.7797892761882395,0.19417231054359074,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,10,0.9883779287338257,0.31164661126967985,0.6767313174641458,0.315311180277891,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,11,0.025867609307169914,0.00626279876451008,0.019604810542659834,0.24210968590646584,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,12,0.9602495431900024,0.35895839519798756,0.6012911479920149,0.3738178244849852,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,13,0.8367363214492798,0.2990309037268162,0.5377054177224636,0.3573777019848689,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,14,0.7672510147094727,0.24000477651134133,0.5272462381981313,0.3128112858895619,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,15,0.8173080682754517,0.2770428662188351,0.5402652020566165,0.33896993920958735,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,16,0.8395304679870605,0.4256396070122719,0.41389086097478867,0.5069972124213986,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,17,0.48506784439086914,0.07541422545909882,0.4096536189317703,0.1554715001853015,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,18,0.7479698657989502,0.25083592161536217,0.49713394418358803,0.33535565145720103,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,19,0.8118586540222168,0.2244530636817217,0.5874055903404951,0.27646815436370215,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,20,0.776396632194519,0.24222483672201633,0.5341717954725027,0.31198594465480517,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,21,0.7695679664611816,0.17824539309367537,0.5913225733675063,0.23161748001716803,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,22,0.6370079517364502,0.19921258091926575,0.43779537081718445,0.31273170197675354,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,23,0.11839109659194946,0.001275684917345643,0.11711541167460382,0.010775176124455199,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,24,0.49683570861816406,0.15836906456388533,0.33846664405427873,0.31875539905203876,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,25,0.6123780012130737,0.20460828486829996,0.40776971634477377,0.33412089340731815,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,26,0.5260807275772095,0.16047748364508152,0.36560324393212795,0.3050434567031906,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,27,0.5129942297935486,0.17942086700350046,0.3335733627900481,0.34975221276018503,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,28,0.5306578874588013,0.16736925765872002,0.36328862980008125,0.31539954764492983,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,29,0.21949602663516998,0.0008906860311981291,0.21860534060397185,0.004057868585833498,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,30,0.47865957021713257,0.1661632163450122,0.3124963538721204,0.3471427851523708,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,31,0.36753612756729126,0.1202202495187521,0.24731587804853916,0.32709777488946656,20260428-102721
gemma4-e4b,393226001_393226_set00,1400,a,4,32,0.4508873224258423,0.1594974547624588,0.2913898676633835,0.3537412715539179,20260428-102721
