dataset,stratum,stratum_range,stratum_midpoint,n,direction_follow_rate,direction_follow_ci_lo,direction_follow_ci_hi,adoption_rate,exact_match,mean_distance_to_anchor,df_minus_baseline
VQAv2,S1,"[0,1]",0.5,1000,0.182,0.159,0.206,0.08,0.579,0.9749247743229689,0.182
VQAv2,S2,"[2,5]",3.5,1000,0.274,0.245975,0.301,0.028,0.563,3.1773547094188377,0.274
VQAv2,S3,"[6,30]",18.0,1000,0.193,0.165975,0.219,0.016,0.565,15.302908726178536,0.193
VQAv2,S4,"[31,300]",165.0,1000,0.186,0.162,0.212,0.014,0.568,88.42627883650952,0.186
VQAv2,S5,"[301,inf)",650.0,1000,0.186,0.162,0.211,0.009,0.565,5295.329659318637,0.186
TallyQA,S1,"[0,1]",0.5,1000,0.127,0.106,0.149,0.041,0.652,0.9178356713426854,0.127
TallyQA,S2,"[2,5]",3.5,1000,0.211,0.185975,0.236,0.005,0.637,3.3396793587174347,0.211
TallyQA,S3,"[6,30]",18.0,1000,0.148,0.126,0.17,0.002,0.633,15.62625250501002,0.148
TallyQA,S4,"[31,300]",165.0,1000,0.153,0.131,0.176,0.0,0.627,90.77755511022045,0.153
TallyQA,S5,"[301,inf)",650.0,1000,0.14,0.118975,0.16,0.0,0.645,5206.179179179179,0.14
