stratum,base,n_total,case1,case2,case3,case4,n_eligible,n_adopted,adopt_cond,adopt_cond_ci_lo,adopt_cond_ci_hi,adopt_uncond
S1,correct,68,55,1,0,12,56,1,0.017857142857142856,0.0,0.05357142857142857,0.014705882352941176
S1,wrong,115,102,6,0,7,108,6,0.05555555555555555,0.018518518518518517,0.10185185185185185,0.05217391304347826
S2,correct,71,70,1,0,0,71,1,0.014084507042253521,0.0,0.04225352112676056,0.014084507042253521
S2,wrong,125,120,2,1,2,123,2,0.016260162601626018,0.0,0.04065040650406504,0.016
S3,correct,71,71,0,0,0,71,0,0.0,0.0,0.0,0.0
S3,wrong,129,124,4,0,1,128,4,0.03125,0.0078125,0.0625,0.031007751937984496
S4,correct,71,71,0,0,0,71,0,0.0,0.0,0.0,0.0
S4,wrong,129,129,0,0,0,129,0,0.0,0.0,0.0,0.0
S5,correct,71,71,0,0,0,71,0,0.0,0.0,0.0,0.0
S5,wrong,129,127,2,0,0,129,2,0.015503875968992248,0.0,0.03875968992248062,0.015503875968992248
