stratum,base,n_total,case1,case2,case3,case4,n_eligible,n_adopted,adopt_cond,adopt_cond_ci_lo,adopt_cond_ci_hi,adopt_uncond
S1,correct,31,15,2,4,10,21,2,0.09523809523809523,0.0,0.23809523809523808,0.06451612903225806
S1,wrong,105,87,11,2,5,100,11,0.11,0.05,0.17,0.10476190476190476
S2,correct,35,32,3,0,0,35,3,0.08571428571428572,0.0,0.17142857142857143,0.08571428571428572
S2,wrong,117,104,7,0,6,111,7,0.06306306306306306,0.02702702702702703,0.11711711711711711,0.05982905982905983
S3,correct,35,34,1,0,0,35,1,0.02857142857142857,0.0,0.08571428571428572,0.02857142857142857
S3,wrong,118,104,12,1,1,117,12,0.10256410256410256,0.05128205128205128,0.1623931623931624,0.1016949152542373
S4,correct,35,33,2,0,0,35,2,0.05714285714285714,0.0,0.14285714285714285,0.05714285714285714
S4,wrong,118,109,9,0,0,118,9,0.07627118644067797,0.03389830508474576,0.1271186440677966,0.07627118644067797
S5,correct,35,35,0,0,0,35,0,0.0,0.0,0.0,0.0
S5,wrong,118,112,6,0,0,118,6,0.05084745762711865,0.01694915254237288,0.09322033898305085,0.05084745762711865
