experiment,dataset,model,cond_class,stratum,proxy,adopt_increases,df_increases,adopt_q1,adopt_q4,adopt_q4_minus_q1,df_q1,df_q4,df_q4_minus_q1
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,3,3,0.0,0.09523809523809523,0.09523809523809523,0.0,0.05241935483870968,0.05241935483870968
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,3,3,0.0,0.11695906432748537,0.11695906432748537,0.0,0.07377049180327869,0.07377049180327869
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,2,3,0.03314917127071823,0.07692307692307693,0.0437739056523587,0.008032128514056224,0.044,0.03596787148594377
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,2,3,0.0,0.004149377593360996,0.004149377593360996,0.004,0.08064516129032258,0.07664516129032257
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,2,3,0.0,0.012605042016806723,0.012605042016806723,0.0040650406504065045,0.12295081967213115,0.11888577902172465
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,3,3,0.0,0.012048192771084338,0.012048192771084338,0.01606425702811245,0.104,0.08793574297188755
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,entropy_top_k,1,2,0.0,0.0,0.0,0.0,0.06048387096774194,0.06048387096774194
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,softmax_top1_prob,1,3,0.0,0.008130081300813009,0.008130081300813009,0.0,0.10245901639344263,0.10245901639344263
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,1,2,0.0,0.008,0.008,0.024096385542168676,0.088,0.06390361445783133
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,entropy_top_k,0,2,0.0,0.0,0.0,0.008,0.06854838709677419,0.06054838709677419
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,softmax_top1_prob,0,3,0.0,0.0,0.0,0.0040650406504065045,0.13114754098360656,0.12708250033320007
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,0,2,0.0,0.0,0.0,0.020080321285140562,0.104,0.08391967871485943
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,entropy_top_k,0,3,0.0,0.0,0.0,0.008,0.056,0.048
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,softmax_top1_prob,0,3,0.0,0.0,0.0,0.008130081300813009,0.1016260162601626,0.09349593495934959
experiment_distance_tally,TallyQA,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,0,2,0.0,0.0,0.0,0.02,0.08032128514056225,0.060321285140562245
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,entropy_top_k,3,3,0.04878048780487805,0.17989417989417988,0.13111369208930185,0.036,0.0967741935483871,0.0607741935483871
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,softmax_top1_prob,2,3,0.031446540880503145,0.15263157894736842,0.12118503806686529,0.0205761316872428,0.128099173553719,0.1075230418664762
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,3,2,0.07103825136612021,0.14444444444444443,0.07340619307832422,0.044,0.0931174089068826,0.0491174089068826
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,entropy_top_k,2,3,0.01606425702811245,0.046218487394957986,0.030154230366845537,0.024,0.14056224899598393,0.11656224899598394
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,softmax_top1_prob,3,3,0.00823045267489712,0.048034934497816595,0.03980448182291947,0.01646090534979424,0.17355371900826447,0.15709281365847022
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S2,top1_minus_top2_margin,3,3,0.012345679012345678,0.05737704918032787,0.04503137016798219,0.052,0.14919354838709678,0.09719354838709679
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,entropy_top_k,1,3,0.024,0.028,0.004,0.028,0.08064516129032258,0.05264516129032258
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,softmax_top1_prob,1,2,0.01646090534979424,0.012345679012345678,-0.004115226337448562,0.0205761316872428,0.11618257261410789,0.09560644092686509
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S3,top1_minus_top2_margin,3,3,0.004,0.024,0.02,0.028,0.10121457489878542,0.07321457489878543
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,entropy_top_k,2,3,0.016,0.036,0.019999999999999997,0.028,0.09274193548387097,0.06474193548387097
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,softmax_top1_prob,1,3,0.012345679012345678,0.00823045267489712,-0.004115226337448558,0.0205761316872428,0.11203319502074689,0.09145706333350409
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S4,top1_minus_top2_margin,2,2,0.004,0.016,0.012,0.04,0.10121457489878542,0.06121457489878542
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,entropy_top_k,2,2,0.012,0.02,0.008,0.024,0.056451612903225805,0.032451612903225804
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,softmax_top1_prob,1,2,0.00823045267489712,0.00823045267489712,0.0,0.01646090534979424,0.08713692946058091,0.07067602411078666
experiment_distance_vqa,VQAv2,llava-next-interleaved-7b,a,S5,top1_minus_top2_margin,1,3,0.008,0.008,0.0,0.024,0.08870967741935484,0.06470967741935485
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,entropy_top_k,3,3,0.005714285714285714,0.12021857923497267,0.11450429352068696,0.004,0.08064516129032258,0.07664516129032257
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,softmax_top1_prob,3,3,0.0,0.18128654970760233,0.18128654970760233,0.0,0.0942622950819672,0.0942622950819672
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S1,top1_minus_top2_margin,3,2,0.05405405405405406,0.1111111111111111,0.05705705705705705,0.03614457831325301,0.06,0.023855421686746987
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,entropy_top_k,3,3,0.0,0.020833333333333332,0.020833333333333332,0.0,0.09274193548387097,0.09274193548387097
experiment_e5c_tally,TallyQA,llava-next-interleaved-7b,a,S2,softmax_top1_prob,2,3,0.0,0.02100840336134454,0.02100840336134454,0.0,0.11475409836065574,0.11475409836065574
