experiment,dataset,model,cond_class,stratum,base_correct,A_raw__D_all_num,A_raw__D_all_den,A_raw__D_paired_num,A_raw__D_paired_den,A_raw__D_clean_num,A_raw__D_clean_den,A_paired__D_all_num,A_paired__D_all_den,A_paired__D_paired_num,A_paired__D_paired_den,A_paired__D_clean_num,A_paired__D_clean_den,A_clean__D_all_num,A_clean__D_all_den,A_clean__D_paired_num,A_clean__D_paired_den,A_clean__D_clean_num,A_clean__D_clean_den,DF_raw__DD_all_num,DF_raw__DD_all_den,DF_raw__DD_moved_num,DF_raw__DD_moved_den,DF_raw__DD_clean_num,DF_raw__DD_clean_den,DF_moved__DD_all_num,DF_moved__DD_all_den,DF_moved__DD_moved_num,DF_moved__DD_moved_den,DF_moved__DD_clean_num,DF_moved__DD_clean_den,DF_clean__DD_all_num,DF_clean__DD_all_den,DF_clean__DD_moved_num,DF_clean__DD_moved_den,DF_clean__DD_clean_num,DF_clean__DD_clean_den,n_pairs
experiment,VQAv2,gemma3-27b-it,a,S0,all,2492,17730,839,15846,628,14807,839,17730,839,15846,628,14807,628,17730,628,15846,628,14807,2964,17730,2964,4040,2634,3554,2964,17730,2964,4040,2634,3554,2634,17730,2634,4040,2634,3554,17730
experiment,VQAv2,gemma3-27b-it,a,S0,correct,1103,8611,206,7644,206,7644,206,8611,206,7644,206,7644,206,8611,206,7644,206,7644,724,8611,724,1006,724,936,724,8611,724,1006,724,936,724,8611,724,1006,724,936,8611
experiment,VQAv2,gemma3-27b-it,a,S0,wrong,1389,9119,633,8202,422,7163,633,9119,633,8202,422,7163,422,9119,422,8202,422,7163,2240,9119,2240,3034,1910,2618,2240,9119,2240,3034,1910,2618,1910,9119,1910,3034,1910,2618,9119
experiment,VQAv2,gemma3-27b-it,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,gemma3-27b-it,d,S0,correct,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,8611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8611
experiment,VQAv2,gemma3-27b-it,d,S0,wrong,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,9119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9119
experiment,VQAv2,gemma4-31b-it,a,S0,all,2058,17730,388,15815,284,14997,388,17730,388,15815,284,14997,284,17730,284,15815,284,14997,1502,17699,1502,2622,1345,2328,1502,17699,1502,2622,1345,2328,1345,17699,1345,2622,1345,2328,17730
experiment,VQAv2,gemma4-31b-it,a,S0,correct,1249,10644,138,9456,138,9456,138,10644,138,9456,138,9456,138,10644,138,9456,138,9456,521,10644,521,875,521,798,521,10644,521,875,521,798,521,10644,521,875,521,798,10644
experiment,VQAv2,gemma4-31b-it,a,S0,wrong,798,7056,239,6329,136,5514,239,7056,239,6329,136,5514,136,7056,136,6329,136,5514,981,7055,981,1747,824,1530,981,7055,981,1747,824,1530,824,7055,824,1747,824,1530,7056
experiment,VQAv2,gemma4-31b-it,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,gemma4-31b-it,d,S0,correct,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,10644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10644
experiment,VQAv2,gemma4-31b-it,d,S0,wrong,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,7056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7056
experiment,VQAv2,gemma4-e4b,a,S0,all,2180,17730,1049,15939,836,14815,1049,17730,1049,15939,836,14815,836,17730,836,15939,836,14815,4851,17730,4851,7776,4379,6924,4851,17730,4851,7776,4379,6924,4379,17730,4379,7776,4379,6924,17730
experiment,VQAv2,gemma4-e4b,a,S0,correct,979,7570,295,6688,295,6688,295,7570,295,6688,295,6688,295,7570,295,6688,295,6688,1108,7570,1108,1964,1108,1766,1108,7570,1108,1964,1108,1766,1108,7570,1108,1964,1108,1766,7570
experiment,VQAv2,gemma4-e4b,a,S0,wrong,1201,10160,754,9251,541,8127,754,10160,754,9251,541,8127,541,10160,541,9251,541,8127,3743,10160,3743,5812,3271,5158,3743,10160,3743,5812,3271,5158,3271,10160,3271,5812,3271,5158,10160
experiment,VQAv2,gemma4-e4b,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,gemma4-e4b,d,S0,correct,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,7570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7570
experiment,VQAv2,gemma4-e4b,d,S0,wrong,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,10160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10160
experiment,VQAv2,llava-next-interleaved-7b,a,S0,all,2369,17730,847,15883,735,14844,847,17730,847,15883,735,14844,735,17730,735,15883,735,14844,3046,17683,3046,4396,2837,3943,3046,17683,3046,4396,2837,3943,2837,17683,2837,4396,2837,3943,17730
experiment,VQAv2,llava-next-interleaved-7b,a,S0,correct,1204,8420,361,7453,361,7453,361,8420,361,7453,361,7453,361,8420,361,7453,361,7453,1106,8419,1106,1572,1106,1449,1106,8419,1106,1572,1106,1449,1106,8419,1106,1572,1106,1449,8420
experiment,VQAv2,llava-next-interleaved-7b,a,S0,wrong,1154,9270,475,8390,363,7357,475,9270,475,8390,363,7357,363,9270,363,8390,363,7357,1940,9264,1940,2824,1731,2494,1940,9264,1940,2824,1731,2494,1731,9264,1731,2824,1731,2494,9270
experiment,VQAv2,llava-next-interleaved-7b,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,llava-next-interleaved-7b,d,S0,correct,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,8420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8420
experiment,VQAv2,llava-next-interleaved-7b,d,S0,wrong,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,9270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9270
experiment,VQAv2,qwen2.5-vl-7b-instruct,a,S0,all,1942,17745,329,15853,262,15045,329,17745,329,15853,262,15045,262,17745,262,15853,262,15045,1667,17745,1667,2739,1555,2444,1667,17745,1667,2739,1555,2444,1555,17745,1555,2739,1555,2444,17745
experiment,VQAv2,qwen2.5-vl-7b-instruct,a,S0,correct,1217,10510,142,9312,142,9312,142,10510,142,9312,142,9312,142,10510,142,9312,142,9312,673,10510,673,1102,673,979,673,10510,673,1102,673,979,673,10510,673,1102,673,979,10510
experiment,VQAv2,qwen2.5-vl-7b-instruct,a,S0,wrong,725,7235,187,6541,120,5733,187,7235,187,6541,120,5733,120,7235,120,6541,120,5733,994,7235,994,1637,882,1465,994,7235,994,1637,882,1465,882,7235,882,1637,882,1465,7235
experiment,VQAv2,qwen2.5-vl-7b-instruct,d,S0,all,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,17745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17745
experiment,VQAv2,qwen2.5-vl-7b-instruct,d,S0,correct,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,10510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10510
experiment,VQAv2,qwen2.5-vl-7b-instruct,d,S0,wrong,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,7235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7235
experiment,VQAv2,qwen3-vl-30b-it,a,S0,all,2125,17730,611,15762,482,14993,611,17730,611,15762,482,14993,482,17730,482,15762,482,14993,3004,17722,3004,4652,2814,4132,3004,17722,3004,4652,2814,4132,2814,17722,2814,4652,2814,4132,17730
experiment,VQAv2,qwen3-vl-30b-it,a,S0,correct,1281,10862,252,9625,252,9625,252,10862,252,9625,252,9625,252,10862,252,9625,252,9625,1298,10854,1298,1980,1298,1773,1298,10854,1298,1980,1298,1773,1298,10854,1298,1980,1298,1773,10862
experiment,VQAv2,qwen3-vl-30b-it,a,S0,wrong,844,6868,359,6137,230,5368,359,6868,359,6137,230,5368,230,6868,230,6137,230,5368,1706,6868,1706,2672,1516,2359,1706,6868,1706,2672,1516,2359,1516,6868,1516,2672,1516,2359,6868
experiment,VQAv2,qwen3-vl-30b-it,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,qwen3-vl-30b-it,d,S0,correct,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,10862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10862
experiment,VQAv2,qwen3-vl-30b-it,d,S0,wrong,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,6868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6868
experiment,VQAv2,qwen3-vl-8b-instruct,a,S0,all,2260,17730,521,15789,424,15019,521,17730,521,15789,424,15019,424,17730,424,15789,424,15019,1849,17730,1849,2771,1724,2484,1849,17730,1849,2771,1724,2484,1724,17730,1724,2771,1724,2484,17730
experiment,VQAv2,qwen3-vl-8b-instruct,a,S0,correct,1353,10747,205,9511,205,9511,205,10747,205,9511,205,9511,205,10747,205,9511,205,9511,765,10747,765,1130,765,1042,765,10747,765,1130,765,1042,765,10747,765,1130,765,1042,10747
experiment,VQAv2,qwen3-vl-8b-instruct,a,S0,wrong,907,6983,316,6278,219,5508,316,6983,316,6278,219,5508,219,6983,219,6278,219,5508,1084,6983,1084,1641,959,1442,1084,6983,1084,1641,959,1442,959,6983,959,1641,959,1442,6983
experiment,VQAv2,qwen3-vl-8b-instruct,d,S0,all,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,17730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17730
experiment,VQAv2,qwen3-vl-8b-instruct,d,S0,correct,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,10747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10747
experiment,VQAv2,qwen3-vl-8b-instruct,d,S0,wrong,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,6983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6983
experiment_anchor_strengthen_prompt,VQAv2,gemma3-27b-it,a,S0,all,11144,35460,7620,31754,6438,29658,7620,35460,7620,31754,6438,29658,6438,35460,6438,31754,6438,29658,11385,35460,11385,13298,10075,11800,11385,35460,11385,13298,10075,11800,10075,35460,10075,13298,10075,11800,35460
