cond_class,stratum,base_correct,n,n_pb_ne_anchor,n_numeric_anchor,adopt_M2,direction_follow_M2,exact_match,model,run,exp_dir
a,S1,False,229.0,213.0,225.0,0.07042253521126761,0.24,0.11353711790393013,gemma3-27b-it,20260428-001359,experiment_e5e_chartqa_full
a,S1,True,403.0,328.0,403.0,0.01524390243902439,0.01488833746898263,0.9602977667493796,gemma3-27b-it,20260428-001359,experiment_e5e_chartqa_full
d,S0,False,247.0,247.0,0.0,0.0,0.0,0.10931174089068826,gemma3-27b-it,20260428-001359,experiment_e5e_chartqa_full
d,S0,True,458.0,458.0,0.0,0.0,0.0,0.9519650655021834,gemma3-27b-it,20260428-001359,experiment_e5e_chartqa_full
m,S1,False,229.0,213.0,221.0,0.04225352112676056,0.20361990950226244,0.09170305676855896,gemma3-27b-it,20260428-001359,experiment_e5e_chartqa_full
m,S1,True,403.0,328.0,403.0,0.009146341463414634,0.009925558312655087,0.9652605459057072,gemma3-27b-it,20260428-001359,experiment_e5e_chartqa_full
a,S1,False,416.0,402.0,370.0,0.03233830845771144,0.2,0.040865384615384616,llava-next-interleaved-7b,20260427-171240,experiment_e5e_chartqa_full
a,S1,True,216.0,172.0,216.0,0.01744186046511628,0.06944444444444445,0.8842592592592593,llava-next-interleaved-7b,20260427-171240,experiment_e5e_chartqa_full
d,S0,False,466.0,466.0,0.0,0.0,0.0,0.015021459227467811,llava-next-interleaved-7b,20260427-171240,experiment_e5e_chartqa_full
d,S0,True,239.0,239.0,0.0,0.0,0.0,0.891213389121339,llava-next-interleaved-7b,20260427-171240,experiment_e5e_chartqa_full
m,S1,False,416.0,402.0,368.0,0.009950248756218905,0.15217391304347827,0.02403846153846154,llava-next-interleaved-7b,20260427-171240,experiment_e5e_chartqa_full
m,S1,True,216.0,172.0,216.0,0.005813953488372093,0.05092592592592592,0.8935185185185185,llava-next-interleaved-7b,20260427-171240,experiment_e5e_chartqa_full
a,S1,False,153.0,141.0,134.0,0.03546099290780142,0.1865671641791045,0.09803921568627451,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_chartqa_full
a,S1,True,479.0,393.0,479.0,0.010178117048346057,0.012526096033402923,0.9707724425887265,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_chartqa_full
d,S0,False,165.0,165.0,0.0,0.0,0.0,0.08484848484848485,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_chartqa_full
d,S0,True,540.0,540.0,0.0,0.0,0.0,0.9777777777777777,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_chartqa_full
m,S1,False,153.0,141.0,133.0,0.03546099290780142,0.18045112781954886,0.0915032679738562,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_chartqa_full
m,S1,True,479.0,393.0,479.0,0.005089058524173028,0.008350730688935281,0.9707724425887265,qwen2.5-vl-7b-instruct,20260427-235812,experiment_e5e_chartqa_full
