cond_class,stratum,base_correct,n,n_pb_ne_anchor,n_numeric_anchor,adopt_M2,direction_follow_M2,exact_match,model,run,exp_dir
a,S1,False,211.0,178.0,211.0,0.2303370786516854,0.33175355450236965,0.17535545023696683,gemma3-27b-it,20260428-090622,experiment_e5e_mathvista_full
a,S1,True,154.0,101.0,154.0,0.07920792079207921,0.05844155844155844,0.9090909090909091,gemma3-27b-it,20260428-090622,experiment_e5e_mathvista_full
d,S0,False,222.0,222.0,0.0,0.0,0.0,0.13063063063063063,gemma3-27b-it,20260428-090622,experiment_e5e_mathvista_full
d,S0,True,163.0,163.0,0.0,0.0,0.0,0.8834355828220859,gemma3-27b-it,20260428-090622,experiment_e5e_mathvista_full
m,S1,False,211.0,178.0,211.0,0.05056179775280899,0.2132701421800948,0.0947867298578199,gemma3-27b-it,20260428-090622,experiment_e5e_mathvista_full
m,S1,True,154.0,101.0,154.0,0.039603960396039604,0.025974025974025976,0.9285714285714286,gemma3-27b-it,20260428-090622,experiment_e5e_mathvista_full
a,S1,False,3.0,1.0,3.0,0.0,0.0,0.0,llava-next-interleaved-7b,20260428-090529,experiment_e5e_mathvista_full
a,S1,True,2.0,1.0,2.0,0.0,0.0,1.0,llava-next-interleaved-7b,20260428-090529,experiment_e5e_mathvista_full
d,S0,False,3.0,3.0,0.0,0.0,0.0,0.0,llava-next-interleaved-7b,20260428-090529,experiment_e5e_mathvista_full
d,S0,True,2.0,2.0,0.0,0.0,0.0,1.0,llava-next-interleaved-7b,20260428-090529,experiment_e5e_mathvista_full
m,S1,False,3.0,1.0,3.0,0.0,0.0,0.0,llava-next-interleaved-7b,20260428-090529,experiment_e5e_mathvista_full
m,S1,True,2.0,1.0,2.0,0.0,0.0,1.0,llava-next-interleaved-7b,20260428-090529,experiment_e5e_mathvista_full
a,S1,False,270.0,248.0,241.0,0.06451612903225806,0.26556016597510373,0.07777777777777778,llava-next-interleaved-7b,20260428-090622,experiment_e5e_mathvista_full
a,S1,True,95.0,57.0,95.0,0.07017543859649122,0.05263157894736842,0.8631578947368421,llava-next-interleaved-7b,20260428-090622,experiment_e5e_mathvista_full
d,S0,False,286.0,286.0,0.0,0.0,0.0,0.05944055944055944,llava-next-interleaved-7b,20260428-090622,experiment_e5e_mathvista_full
d,S0,True,99.0,99.0,0.0,0.0,0.0,0.7575757575757576,llava-next-interleaved-7b,20260428-090622,experiment_e5e_mathvista_full
m,S1,False,270.0,248.0,242.0,0.020161290322580645,0.15289256198347106,0.040740740740740744,llava-next-interleaved-7b,20260428-090622,experiment_e5e_mathvista_full
m,S1,True,95.0,57.0,95.0,0.07017543859649122,0.05263157894736842,0.8105263157894737,llava-next-interleaved-7b,20260428-090622,experiment_e5e_mathvista_full
a,S1,False,139.0,114.0,136.0,0.02631578947368421,0.16176470588235295,0.050359712230215826,qwen2.5-vl-7b-instruct,20260428-090622,experiment_e5e_mathvista_full
a,S1,True,226.0,140.0,226.0,0.014285714285714285,0.017699115044247787,0.9513274336283186,qwen2.5-vl-7b-instruct,20260428-090622,experiment_e5e_mathvista_full
d,S0,False,150.0,150.0,0.0,0.0,0.0,0.04,qwen2.5-vl-7b-instruct,20260428-090622,experiment_e5e_mathvista_full
d,S0,True,235.0,235.0,0.0,0.0,0.0,0.9574468085106383,qwen2.5-vl-7b-instruct,20260428-090622,experiment_e5e_mathvista_full
m,S1,False,139.0,114.0,137.0,0.017543859649122806,0.10948905109489052,0.07913669064748201,qwen2.5-vl-7b-instruct,20260428-090622,experiment_e5e_mathvista_full
m,S1,True,226.0,140.0,226.0,0.0,0.0,0.9823008849557522,qwen2.5-vl-7b-instruct,20260428-090622,experiment_e5e_mathvista_full
